id|name|salesTarget|salesAchieved|totalSales|commission
103|Aditya Rao|5000000.00|5530000.00|5530000.00|110600.00
106|Nandini Reddy|5000000.00|7290000.00|7290000.00|145800.00
109|Rishi Kapoor|5000000.00|5030000.00|5030000.00|100600.00
110|Sanya Malhotra|5000000.00|7410000.00|7410000.00|148200.00
140|Vinit|5000000.00|0.00|0.00|0.00
107|Harsh Gupta|5000000.00|5640000.00|5640000.00|112800.00
108|Kavita Sharma|5000000.00|6770000.00|6770000.00|135400.00
104|Ishaani Banerjee|5000000.00|6980000.00|6980000.00|139600.00
105|Manish Dubey|5000000.00|6120000.00|6120000.00|122400.00
101|Deepak Mishra|5000000.00|6350000.00|6350000.00|127000.00
102|Tanvi Kapoor|5000000.00|5770000.00|5770000.00|115400.00
